	gene
3788	H05C05.4
4378	glb-21
4379	Y43F8B.20
3789	F43C11.16
3219	F47B7.4
2222	dhp-1
2693	T27C5.12
3221	Y68A4B.3
2223	R12E2.15
1464	grl-15
2224	W04G5.5
2225	dos-2
2698	Y11D7A.5
3225	F49F1.9
2699	R12C12.10
3227	ZK105.8
1823	wrt-2
2700	R07B7.12
2701	osr-1
3799	clec-111
2227	svh-11
2702	zmp-6
3232	T15D6.12
3233	Y24D9A.6
3234	C14C6.8
3235	F49C12.5
1465	K01D12.9
1824	col-14
2705	sre-29
2229	C10F3.7
2707	nhr-233
1825	col-89
2230	C29G2.3
2708	ZC262.10
2709	T07G12.5
3244	srg-53
2231	lgc-46
3814	try-4
3815	F55E10.2
4395	K11H12.10
3247	trp-4
3817	F35H8.12
2711	col-33
3248	dat-1
4398	F16G10.2
4399	ZK688.1
3820	Y57E12B.1
3821	F17C11.22
4402	C26G2.2
4403	ptr-17
437	lgg-1
740	col-167
1098	col-124
1466	col-118
1826	col-141
1827	pdzd-8
2235	fipr-27
1467	col-93
1828	col-126
2236	col-146
2237	col-161
2717	col-91
3252	dct-5
3253	K07E1.1
3825	C06E8.5
4404	fipr-26
4405	col-137
1829	col-20
2238	col-122
2718	W01F3.2
2719	cyp-34A10
2239	C39B5.5
2720	col-98
3259	fipr-21
3828	drd-10
3829	grsp-3
3260	C45B2.1
3830	haao-1
3831	C49F5.7
3261	cnc-8
3833	pqn-72
4416	nlp-27
4417	T09E8.4
1099	ram-2
1468	dpy-4
1830	grl-16
2240	cpg-7
4981	ZK112.4
4419	T08G5.2
4985	T04C12.8
4421	Y48G10A.6
4987	nhr-271
4422	F54D10.8
6120	gur-4
6121	F25E5.3
5543	F36H9.1
4994	madf-4
6696	ZK1086.3
3264	F36D1.8
4996	Y39B6A.27
5001	C47F8.5
3265	K01A6.6
3840	T28C12.2
5010	lin-22
6136	Y61B8A.6
2241	F18E3.13
2724	col-157
3267	col-154
3268	ugt-9
3844	C01G10.6
3845	ugt-66
3269	C27A7.8
3850	T23G4.2
2727	grl-6
3272	ZK218.7
3273	srsx-12
3854	nhr-185
3855	ZK1010.4
2243	sqt-1
2728	F18E3.11
3274	col-41
3856	qua-1
3857	numr-2
3275	F57H12.6
2729	ZK1025.3
3276	lon-3
3860	T06G6.6
4460	R05A10.6
4461	T13F2.4
5028	T27C5.8
5029	nhr-135
3861	sams-4
3277	K07H8.8
3862	gale-1
5031	F56H6.7
5580	srg-45
6146	ins-13
6147	W08G11.5
5034	Y51F10.15
5035	str-82
5585	E03H4.11
5586	haf-1
1469	T10G3.3
1832	grd-10
2244	grd-13
2730	Y57G11C.42
3864	R160.13
4470	srj-38
4471	Y110A2AL.5
3279	ocrl-1
5044	F59B10.6
5045	ipla-2
5595	T07C12.10
5046	ZK899.5
5599	ZK899.3
6165	T24D1.7
4475	str-9
2731	skpo-3
3280	F26G1.2
3869	mab-3
3281	nhr-235
3870	W06G6.17
4480	srg-34
5057	clec-162
6172	mig-21
