	gene
6810	Y92H12BR.7
7306	his-73
7307	ztf-20
3721	eef-1A.2
4092	jun-1
4522	mnm-2
5034	B0310.3
6243	clec-243
6817	sir-2.3
7696	F53H4.6
7698	K02H11.9
7989	trx-5
7990	F14H12.8
8260	C10A4.7
8261	C03B1.14
8521	gap-3
5035	fbxa-115
5628	gpn-1
6247	egl-17
7994	Y108F1.5
7995	srbc-27
7706	K07A1.20
7999	fbxa-116
6824	F19G12.8
7326	F25E5.4
7327	F28H1.1
8757	F19B2.6
7721	K08E5.6
4523	sor-1
5036	nhr-227
6251	F53E10.5
5633	Y54G11A.4
6253	famp-1
8012	C34C12.12
8288	W01C8.1
8289	B0250.8
7728	srd-8
8293	snf-3
8546	aakg-1
8766	C10A4.1
4093	C30F12.5
4524	tba-8
5634	fbxb-14
5635	R13D11.3
5039	nhr-74
5636	K02H11.4
5637	eff-1
7336	ptr-8
7337	C18A11.4
8022	T04H1.12
8023	C49C8.2
6261	C15F1.2
6843	F21G4.5
7338	pals-31
5040	F26D2.3
5041	col-176
2565	ZK632.9
2967	dad-1
3340	C14F11.4
3722	F53H4.2
4094	ttr-51
4526	F22H10.6
4527	H12D21.3
4095	F58H1.7
4528	flp-14
5642	F17C11.2
5643	F57A8.7
6265	ins-17
4529	K12H6.10
5048	T16G12.12
5049	K09H11.4
6268	F46H5.5
6851	C37C3.11
3723	sth-1
4096	Y47G6A.15
4097	ttr-34
4532	F15G9.1
4533	T04F3.1
5052	C40C9.3
5053	C36E6.8
5650	acd-1
5651	ZK652.8
6273	M01A8.1
7344	cil-7
7345	bath-46
6855	dmsr-12
7347	F55B11.7
7744	F55B11.6
8032	srz-79
8033	srt-49
8303	sri-13
3341	nduo-6
3724	lec-9
4098	dct-16
4535	Y119D3B.21
4099	rla-1
4536	asp-1
5056	asp-6
5654	cpr-9
6275	asah-1
6856	clec-47
7349	F27D9.2
7747	F42A10.7
6857	F01D5.2
7350	clec-74
7351	Y47H9C.1
8039	R10D12.6
8040	pgp-3
8310	Y47H10A.3
8311	K12B6.11
5655	F53B2.8
6277	dod-19
6859	msra-1
5656	cyp-37B1
6861	Y71H2B.8
6862	ent-7
8042	F38A1.6
8313	str-43
8314	srd-35
8564	che-6
8565	kgb-2
8315	hrg-7
8044	K05F6.10
7359	acs-9
7757	F21C10.18
8320	clec-71
8321	F28H7.2
8047	T25B6.6
8578	M199.8
8579	cyp-13A4
8582	spp-11
8784	T06E6.15
8785	fbxa-189
8586	asp-16
8793	clec-29
8051	F55G11.7
8588	sre-11
8797	cyp-35B2
9055	B0462.5
7361	Y54G2A.45
7760	C32H11.4
8054	cyp-13A7
8055	bath-47
8334	lys-5
8590	Y26D4A.3
8591	F23F12.13
8335	clec-49
5657	srx-115
7762	F21C10.9
8056	clec-127
8060	Y54G2A.38
8061	C25F9.8
7765	fbxa-43
8352	W02D7.8
7767	pals-5
8607	EGAP2.2
6281	ace-3
7366	arrd-3
7770	T25G12.13
8070	F26D10.13
6867	hic-1
7368	C13A2.5
7772	C09F12.3
8074	E04D5.4
8075	Y57E12B.4
7774	clec-59
8079	F20D6.2
8368	srb-17
8616	clec-9
8617	fbxa-48
4537	dod-3
5058	pud-1.1
5658	nspg-3
6282	str-217
7777	T06D4.2
6283	slc-9B.2
5659	fbxa-157
7375	Y64G10A.1
6873	Y6E2A.1
7378	oac-58
7786	Y39H10B.3
7787	C25F9.4
5059	T01C8.3
6286	Y57E12B.11
6877	sre-31
7381	cyp-33C5
6287	T27A1.1
8095	C25A1.15
7792	clec-202
8098	F07G6.5
8099	rabr-4
8386	C55B6.7
8387	gly-17
6879	cln-3.1
8814	gst-25
8815	R09D1.14
8389	cTel54X.2
8631	clec-57
8105	drd-5
8633	C25F9.15
8391	C46F2.1
8823	clec-15
8635	clec-56
8824	clec-85
5661	F38A1.9
6288	nspg-1
6881	clec-168
7386	thn-4
7387	W02A2.5
6289	F55G1.7
8636	T09E11.6
8112	srg-14
8113	oac-54
8117	glct-1
8119	clec-31
8403	sre-19
3725	T24H7.2
4100	nhr-132
4538	clec-196
5060	F59B2.3
5662	hnd-1
5663	rmd-2
6292	C09B8.4
6293	dhs-8
6888	C52E2.3
6889	F56D5.3
7394	W04B5.6
7395	nhr-57
6294	pgp-6
6891	cyp-34A9
7401	T22B7.3
7819	ZK262.20
5665	Y53F4B.26
6296	fbxc-29
6895	Y51A2A.16
6297	rips-1
6897	acdh-1
7404	ZK1240.1
7824	Y62H9A.11
7825	scl-12
4539	C52D10.3
5667	gon-2
6898	T10B5.7
7826	F42H10.6
8130	fmo-2
8131	C03H5.4
8413	C06E4.1
7408	srw-138
7833	trpl-5
6299	F09G2.1
7834	hrg-5
7835	C10A4.13
7836	C46H11.1
8144	lipl-5
8425	F40D4.13
7838	clec-40
7839	str-124
8150	Y113G7B.12
8151	M02F4.2
8429	ugt-44
8657	F58E6.4
5063	pud-2.2
5669	F52D1.2
6903	pes-5
